Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
PERA,Follow-up,9/22/2017,66,2405,HENDERSON,,75206,2405 N HENDERSON AVE,9/1/2017,FY2017,32.8150111,-96.7788729,Bar,4.4,332
PERA WINE & TAPAS,Routine,10/25/2019,87,6006,BELTLINE,,75254,6006 BELTLINE RD,10/1/2019,FY2020,32.9534067,-96.8029071,Bar,4.2,656
PERIDOT COFFEE,Routine,12/18/2018,97,2240,ROYAL,#101,75229,2240 ROYAL LN #101,12/1/2018,FY2019,32.8944061,-96.903222,Restaurant,4.1,550
PERRY STEAKHOUSE & GRILL,Routine,6/6/2019,86,2000,MCKINNEY,100,75201,2000 MCKINNEY AVE 100,6/1/2019,FY2019,32.7911119,-96.8031977,Bar,4.6,1513
PHATT MATT'S,Routine,1/9/2020,85,2451,LEDBETTER,#A,75233,2451 W LEDBETTER DR STE #A,1/1/2020,FY2020,32.6918337,-96.8593032,Restaurant,2.9,304
PHATT MATT'S HOTWINGS,Routine,11/26/2019,85,7557,LANCASTER,#100,75241,7557 S LANCASTER RD #100,11/1/2019,FY2020,32.6537139,-96.7831299,Restaurant,4.1,118
PHATT MATTS,Routine,6/14/2017,79,2207,LEDBETTER,#B,75216,2207 E LEDBETTER DR #B,6/1/2017,FY2017,32.6873075,-96.7877999,Restaurant,3.2,565
PHD,Routine,7/30/2019,89,1300,DAVIS,,75208,1300 W DAVIS ST,7/1/2019,FY2019,32.7492167,-96.8431617,Bar,4.4,331
PHILLIPS MART,Routine,1/10/2020,92,951,BELTLINE,,75253,951 S BELTLINE RD,1/1/2020,FY2020,32.6882326,-96.5885981,Restaurant,1,1
PHILLY PRETZEL FACTORY,Routine,1/14/2019,95,5601,LOVERS,#130,75209,5601 W LOVERS LN #130,1/1/2019,FY2019,32.8515489,-96.8173898,Restaurant,4.2,135
PHO ANAH,Routine,1/13/2020,83,10675,NORTHWEST,#1635,75238,10675 E NORTHWEST HWY #1635,1/1/2020,FY2020,32.8643089,-96.7011397,Cafe,3.4,543
