,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
3222,PANADERIA VERA'S,Routine,11/27/2018,89,932,DAVIS,,75208,932 W DAVIS ST,11/1/2018,FY2019,32.7492097,-96.8389172,,,
3223,PANADERIA Y RESTAURANT LATINA,Routine,12/3/2019,84,611,HAMPTON,,75211,611 S HAMPTON RD,12/1/2019,FY2020,32.7397908,-96.8570035,,,
3224,PANADERIA Y RESTAURANTE MORAZAN,Routine,11/26/2019,85,426,JEFFERSON,#A,75208,426 W JEFFERSON BLVD #A,11/1/2019,FY2020,32.742871,-96.829573,Restaurant,4.9,17
3225,PANCHO'S MEXICAN BUFFET,Routine,9/18/2018,80,4001,WHEATLAND,#100,75237,4001 W WHEATLAND RD #100,9/1/2018,FY2018,32.6479367,-96.8856743,Restaurant,4,259
3226,PANDA CHINESE FOOD,Routine,12/11/2019,92,2576,WALNUT HILL,,75229,2576 WALNUT HILL LN,12/1/2019,FY2020,32.880652,-96.890767,Restaurant,4.3,566
3227,PANDA EXPRESS,Routine,1/8/2020,97,15204,MONTFORT,,75248,15204 MONTFORT DR,1/1/2020,FY2020,32.956152,-96.8180387,Restaurant,3.9,437
3228,PANDA EXPRESS,Routine,10/28/2019,94,9411,WEBB CHAPEL,100,75220,9411 WEBB CHAPEL RD 100,10/1/2019,FY2020,32.8611258,-96.8587588,Restaurant,4,597
3229,PANDA EXPRESS,Routine,8/7/2019,93,8687,CENTRAL,2388,75206,8687 N CENTRAL EXPW 2388,8/1/2019,FY2019,32.8669116,-96.7726611,Restaurant,4.5,1936
3230,PANDA TEA,Routine,11/21/2019,81,5521,GREENVILLE,#108A,75206,5521 GREENVILLE AVE #108A,11/1/2019,FY2020,32.853688,-96.7698721,Restaurant,4.4,570
3231,PANDA'S RESTAURANT,Routine,9/26/2019,90,3917,CEDAR SPRINGS,,75219,3917 CEDAR SPRINGS RD,9/1/2019,FY2019,32.8107116,-96.8111685,Restaurant,3.4,159
3232,PANDORA'S MENS CLUB,Routine,10/27/2019,95,10649,HARRY HINES,,75220,10649 HARRY HINES BLVD,10/1/2019,FY2020,32.8702998,-96.8833143,,,
3233,PANERA BREAD,Routine,11/14/2019,95,7839,PARK,,75225,7839 PARK LN,11/1/2019,FY2020,32.8723079,-96.772678,Restaurant,4,1077
3234,PANERA BREAD,Routine,3/14/2019,93,5325,BELTLINE,,75238,5325 BELTLINE RD,3/1/2019,FY2019,32.9544721,-96.8151083,Bakery,3.9,638
3235,PANERA BREAD,Routine,1/31/2019,96,3826,LEMMON,,75219,3826 LEMMON AVE,1/1/2019,FY2019,32.8128794,-96.806276,Bakery,3.8,654
3236,PANERA BREAD,Routine,12/20/2018,92,11661,PRESTON,#222,75230,11661 PRESTON RD #222,12/1/2018,FY2019,32.908123,-96.805437,,,
3237,PANINI BAKERY,Routine,3/6/2019,98,6063,SHERRY,,75225,6063 SHERRY LN,3/1/2019,FY2019,32.8624407,-96.8069914,Meal_Delivery,3.9,89
3238,PAPA JOHN'S PIZZA,Routine,9/6/2019,80,4417,LANCASTER,#2285,75216,4417 S LANCASTER RD #2285,9/1/2019,FY2019,32.6944669,-96.7942859,,,
3239,PAPA JOHN'S PIZZA,Routine,1/9/2019,85,5907,BELTLINE,102,75248,5907 BELTLINE RD 102,1/1/2019,FY2019,32.95462,-96.80627,Restaurant,3.1,95
3240,PAPA JOHN'S PIZZA,Routine,11/18/2018,80,2731,NORTHWEST,110,75220,2731 W NORTHWEST HWY 110,11/1/2018,FY2019,32.8587391,-96.8743272,Restaurant,3.8,99
3241,PAPA JOHNS,Routine,6/11/2019,96,2292,BUCKNER,#110,75227,2292 S BUCKNER BLVD #110,6/1/2019,FY2019,32.7521914,-96.6825654,Restaurant,3.2,175
3242,PAPA JOHNS PIZZA,Routine,1/13/2020,96,3206,DAVIS,100,75211,3206 W DAVIS ST 100,1/1/2020,FY2020,32.7492639,-96.8731742,Restaurant,3.4,104
3243,PAPA JOHNS PIZZA,Routine,8/29/2019,96,2937,GREENVILLE,#170,75206,2937 GREENVILLE AVE #170,8/1/2019,FY2019,32.8241899,-96.7704405,Restaurant,2.6,72
3244,PAPA JOHNS PIZZA,Routine,2/15/2019,95,1127,BECKLEY,,75203,1127 N BECKLEY AVE,2/1/2019,FY2019,32.757498,-96.8232715,Restaurant,3,121
3245,PAPA MARKET DELI,Routine,1/23/2019,86,3522,RAMONA,,75216,3522 RAMONA AVE,1/1/2019,FY2019,32.7018246,-96.8060043,,,
3246,PAPA MURPHY'S TAKE AND BAKE PIZZA,Routine,2/5/2019,97,18110,MIDWAY,#101,75287,18110 MIDWAY RD #101,2/1/2019,FY2019,32.9962566,-96.8426795,Restaurant,3.9,96
3247,PAPA MURPHY'S TAKE N' BAKE PIZZA,Routine,8/21/2019,89,8550,PLANO,#101,75238,8550 PLANO RD #101,8/1/2019,FY2019,32.8653009,-96.6999888,Meal_Takeaway,4.6,150
3248,PAPA WADY,Routine,8/21/2019,95,11277,NORTHWEST,123-B,75238,11277 E NORTHWEST HWY 123-B,8/1/2019,FY2019,32.8642374,-96.6861525,,,
