restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
SNOOZE AN AM EATERY,Routine,9/5/19,92,3211,OAKLAWN,#A,75219,3211 OAKLAWN AVE #A,9/1/19,FY2019
SNOWTEE'S,Routine,10/4/18,80,3505,FORDHAM,,75216,3505 FORDHAM RD,10/1/18,FY2019
SNUFFER'S,Routine,6/12/18,82,8411,PRESTON,#112,75225,8411 PRESTON RD #112,6/1/18,FY2018
SNUFFERS RESTAURANT & BAR,Routine,10/21/19,86,3526,GREENVILLE,,75206,3526 GREENVILLE AVE,10/1/19,FY2020
SO & SO'S,Routine,3/31/17,80,3309,MCKINNEY,,75204,3309 MCKINNEY AVE,3/1/17,FY2017
SO ICY SNOW CONE-N- TOBACCO,Routine,12/28/16,88,2212,LAGOW,,75210,2212 LAGOW ST,12/1/16,FY2017
SOCIETY BAKERY,Routine,11/6/19,84,3610,GREENVILLE,,75206,3610 GREENVILLE AVE,11/1/19,FY2020
SOCIETY BAKERY,Routine,6/6/18,95,6025,ROYAL,#127,75230,6025 ROYAL LN STE #127,6/1/18,FY2018
SODA CORPORATE CUISINE,Routine,11/25/19,82,1341,MOCKINGBIRD,,75247,1341 W MOCKINGBIRD LN,11/1/19,FY2020
SODA'S CAFE,Routine,8/5/19,80,1341,MOCKINGBIRD,#C-28,75247,1341 W MOCKINGBIRD LN #C-28,8/1/19,FY2019
SOL IRLANDES,Follow-up,12/16/16,73,1525,MAIN,,75201,1525 MAIN ST,12/1/16,FY2017
