,index,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
165,4856,FAIRMOUNT WINE STORE,Routine,11/10/2016,100,4125,FAIRMOUNT,,75219,4125 FAIRMOUNT ST,11/1/16,FY2017,32.8078664,-96.81690189999999,,,
166,4897,KISS DONUT,Routine,03/15/2017,98,4024,CEDAR SPRINGS,,75219,4024 CEDAR SPRINGS RD,03/1/17,FY2017,32.8117463,-96.81161879999999,Meal_Delivery,3.4,154
167,4917,WINE'TASTIC,Routine,07/05/2018,98,4140,LEMMON,130,75219,4140 LEMMON AVE 130,07/1/18,FY2018,32.815574,-96.809269,Restaurant,4.4,525
168,4922,PANERA BREAD,Routine,11/15/2016,97,3826,LEMMON,,75219,3826 LEMMON AVE,11/1/16,FY2017,32.8128794,-96.806276,Bakery,3.8,654
169,4944,TOM THUMB,Routine,09/28/2017,100,3878,OAK LAWN,#180,75219,3878 OAK LAWN AVE #180,09/1/17,FY2017,32.8158222,-96.80081320000001,,,
170,4955,THE GRAPEVINE BAR,Routine,01/27/2017,97,3902,MAPLE,,75219,3902 MAPLE AVE,01/1/17,FY2017,32.805377,-96.8150103,,,
171,4971,OAK LAWN COFFEE,Routine,11/30/2016,98,2720,OAK LAWN,A,75219,2720 OAK LAWN AVE STE A,11/1/16,FY2017,32.8063273,-96.81133729999999,,,
172,4978,MINI MUD,Routine,11/22/2016,97,3625,HALL,#111,75219,3625 N HALL ST #111,11/1/16,FY2017,32.8088404,-96.80672090000002,Bar,4.3,118
173,4986,GREAT AMERICAN HERO,Routine,11/03/2016,99,4001,LEMMON,,75219,4001 LEMMON AVE,11/1/16,FY2017,32.8136091,-96.8081587,Restaurant,3.9,1070
174,4989,TURTLE CAFE,Routine,08/14/2018,99,3811,TURTLE CREEK,#B100,75219,3811 TURTLE CREEK BLVD #B100,08/1/18,FY2018,32.8140823,-96.8006904,,,
175,5002,PIZZA HUT,Routine,01/23/2017,100,3439,OAK LAWN,,75219,3439 OAK LAWN AVE,01/1/17,FY2017,32.8119691,-96.80606759999999,Meal_Takeaway,2.6,184
176,5051,JANE'S CAFE,Routine,12/12/2016,99,3847,CEDAR SPRINGS,,75219,3847 CEDAR SPRINGS RD,12/1/16,FY2017,32.8099476,-96.8101715,Cafe,4.2,1046
177,5072,POOCH PATIO,Routine,05/03/2017,100,3811,FAIRMOUNT,,75219,3811 FAIRMOUNT ST,05/1/17,FY2017,32.8053151,-96.8138525,,,
178,5078,MY FIT FOODS,Routine,03/20/2017,100,4015,LEMMON,,75219,4015 LEMMON AVE,03/1/17,FY2017,32.8137025,-96.8086107,Restaurant,4.2,216
179,5201,MUDSMITH,Routine,02/03/2018,91,3102,OAK LAWN,#110,75219,3102 OAK LAWN AVE #110,02/1/18,FY2018,32.8086974,-96.8076466,Restaurant,4.4,233
180,5222,VALERO CORNER STORE,Routine,06/26/2018,95,4421,MAPLE,,75219,4421 MAPLE AVE,06/1/18,FY2018,32.8105092,-96.82199260000002,Convenience_Store,1.3,3
181,5300,JIMMY JOHNS GOURMET SANDWICH,Routine,12/22/2016,98,4007,LEMMON,#B,75219,4007 LEMMON AVE #B,12/1/16,FY2017,32.8137121,-96.80860520000002,Restaurant,4.2,216
182,5338,OAK LAWN MART,Routine,10/28/2016,99,3810,CONGRESS,#101,75219,3810 CONGRESS AVE #101,10/1/16,FY2017,32.8076105,-96.8111313,,,
183,5476,CEDAR GROVE,Routine,03/28/2017,92,4123,CEDAR SPRINGS,#110,75219,4123 CEDAR SPRINGS RD #110,03/1/17,FY2017,32.8116443,-96.8132487,Restaurant,4.2,19
184,5513,C-STORE,Routine,01/17/2019,97,4040,CEDAR SPRINGS,,75219,4040 CEDAR SPRINGS RD,01/1/19,FY2019,32.8120359,-96.81209299999999,Meal_Delivery,3.4,154
185,5567,POLLO REY POLLO FIESTA,Routine,08/14/2017,84,4535,MAPLE,,75219,4535 MAPLE AVE,08/1/17,FY2017,32.8122374,-96.8240881,Restaurant,4.3,235
186,5672,ANA'S TAQUERIA,Routine,03/07/2017,94,4438,MAPLE,#5,75219,4438 MAPLE AVE STE #5,03/1/17,FY2017,32.8114671,-96.8221564,,,
187,5682,SOUTHPAWS ORGANIC CAF,Routine,09/20/2017,95,4023,OAK LAWN,,75219,4023 OAK LAWN,09/1/17,FY2017,32.8179976,-96.80286559999999,Bar,4.7,970
188,5718,A & J BAKERY,Routine,04/30/2019,92,3515,OAK LAWN,,75219,3515 OAK LAWN AVE,04/1/19,FY2019,32.8123799,-96.8054238,Restaurant,4,60
189,5746,BELLINI'S ITALIAN CAFE,Routine,07/17/2017,83,3810,CONGRESS,#109,75219,3810 CONGRESS AVE #109,07/1/17,FY2017,32.8076105,-96.8111313,,,
190,5851,ZEPHYR BAKERY CAFE,Routine,04/18/2019,83,4001,CEDAR SPRINGS,#A,75219,4001 CEDAR SPRINGS RD #A,04/1/19,FY2019,32.810988,-96.8116146,Night_Club,3.6,81
191,5925,VICTORY TAVERN,Routine,02/09/2017,89,2501,HOUSTON,,75219,2501 N HOUSTON ST,02/1/17,FY2017,32.789903,-96.8091894,Bar,3.9,168
192,6104,BUZZBREWS KITCHEN,Routine,03/19/2019,82,4334,LEMMON,,75219,4334 LEMMON AVE,03/1/19,FY2019,32.8178857,-96.8121101,Restaurant,4.5,1202
193,6110,FAMILIA FOOD MARKET,Routine,02/08/2018,93,4523,MAPLE,,75219,4523 MAPLE AVE,02/1/18,FY2018,32.81191920000001,-96.8236598,Restaurant,4.1,140
