Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year
FAMILY DOLLAR,Routine,09/17/2019,89,15329,SEAGOVILLE,,75253,15329 SEAGOVILLE RD,09/1/19,FY2019
TRINITY BASIN PREPARATORY SCHOOL,Routine,09/23/2019,95,831,TENTH,B,75208,831 W TENTH ST B,09/1/19,FY2019
PRESTON TRAIL GOLF CLUB,Routine,09/18/2019,96,17201,PRESTON TRAIL,,75248,17201 PRESTON TRAIL DR,09/1/19,FY2019
POKE BOP,Routine,09/05/2019,91,4140,ABRAMS,,75214,4140 ABRAMS RD,09/1/19,FY2019
GOOCH ELEMENTARY,Routine,09/24/2019,96,4030,CALCULUS,,75244,4030 CALCULUS DR,09/1/19,FY2019
AMAZING OCCASION CAKES,Routine,10/09/2019,89,1149,RED BIRD,,75241,1149 E RED BIRD LN,10/1/19,FY2020
SHIP'S LOUNGE,Routine,10/07/2019,89,1613,GREENVILLE,,75206,1613 GREENVILLE AVE,10/1/19,FY2020
ANNE FRANK ELEMENTARY SCHOOL,Routine,09/23/2019,97,5201,CELESTIAL,,75240,5201 CELESTIAL RD,09/1/19,FY2019
BANGKOK CITY RESTAURANT,Routine,09/12/2019,86,4301,BRYAN,#101,75204,4301 BRYAN ST #101,09/1/19,FY2019
HALL'S HONEY-FRIED CHICKEN - MD,Routine,09/20/2019,96,1407,MEDICAL DISTRICT,,75207,1407 MEDICAL DISTRICT DR,09/1/19,FY2019
LG TAPS,Routine,09/17/2019,88,3619,GREENVILLE,,75206,3619 GREENVILLE AVE,09/1/19,FY2019
CHARLIES CREOLE KITCHEN,Routine,09/16/2019,92,2129,GREENVILLE,,75206,2129 GREENVILLE AVE,09/1/19,FY2019
GONZALEZ RESTAURANT,Routine,09/17/2019,92,8121,BRUTON,,75217,8121 BRUTON RD,09/1/19,FY2019
WILLIAMS PREP,Routine,11/17/2016,95,1750,VICEROY,,75235,1750 VICEROY DR,11/1/16,FY2017
WHICH WICH,Routine,10/10/2019,91,1410,MAIN,,75202,1410 MAIN ST,10/1/19,FY2020
GEMMA,Routine,09/11/2019,99,2323,HENDERSON,#109,75206,2323 N HENDERSON AVE #109,09/1/19,FY2019
KA THAI,Routine,09/19/2019,85,4640,MCKINNEY,#130,75205,4640 MCKINNEY AVE #130,09/1/19,FY2019
STANLEY'S CATFISH INN,Routine,09/12/2019,80,3146,CEDAR CREST,,75203,3146 CEDAR CREST BLVD,09/1/19,FY2019
RESTAURANT LA SABROSITA,Routine,09/12/2019,81,2803,CEDAR CREST,,75203,2803 CEDAR CREST BLVD,09/1/19,FY2019
WHATABURGER,Routine,09/13/2019,92,11740,PLANO,,75243,11740 PLANO RD,09/1/19,FY2019
J'S FOOD MART,Routine,10/09/2019,89,1621,GARRETT,,75206,1621 N GARRETT AVE,10/1/19,FY2020
TWIN PEAKS RESTAURANT,Routine,08/28/2019,91,5321,MOCKINGBIRD,#240,75206,5321 E MOCKINGBIRD LN #240,08/1/19,FY2019
OLD WARSAW RESTAURANT,Routine,09/30/2019,80,2512,MAPLE,,75201,2512 MAPLE AVE,09/1/19,FY2019
LATIN DELI,Routine,09/10/2019,82,5844,ABRAMS,,75214,5844 ABRAMS RD,09/1/19,FY2019
SUBWAY SANDWICHES,Routine,10/02/2019,94,4520,FRANKFORD,#A-80,75287,4520 FRANKFORD RD #A-80,10/1/19,FY2020
BBBOP,Routine,09/04/2019,81,5323,GREENVILLE,#5,75206,5323 GREENVILLE AVE #5,09/1/19,FY2019
DOMINO'S PIZZA,Routine,09/06/2019,84,1107,CAMP WISDOM,,75232,1107 W CAMP WISDOM RD,09/1/19,FY2019
