restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long,Unique Join
EIGHTEEN NINETY MARKETPLACE,Routine,02/26/2019,98,2642,MAIN,#150,75226,5959 HARRY HINES BLVD 100,Feb 2019,FY2019,41.678741,-70.026921,
EINSTEIN BROS BAGELS#1760,Routine,12/11/2019,84,14999,PRESTON,,75254,2330 ROYAL LN #700,Dec 2019,FY2020,32.952333,-96.803733,
EL ANTOJO PRODUCE,Routine,02/14/2019,85,210,IRA,,75211,3511 W DAVIS ST,Feb 2019,FY2019,32.747241,-96.916657,
EL BOLERO,Routine,08/19/2019,85,1201,OAK LAWN,#160,75207,1628 OAK LAWN AVE,Aug 2019,FY2019,32.792974,-96.822674,
EL BOLERO,Routine,07/17/2019,80,2722,FITZHUGH,,75206,6200 EAST GRAND AVE,Jul 2019,FY2019,32.814569,-96.785998,
EL BOLERO,Routine,07/17/2019,80,2722,FITZHUGH,,75206,6204 BEXAR ST,Jul 2019,FY2019,32.814569,-96.785998,
EL BOLERO,Routine,03/02/2019,97,2722,FITZHUGH,,75206,6205 S RL THORNTON FRWY,Mar 2019,FY2019,32.814569,-96.785998,
EL BOLERO,Routine,02/15/2019,86,1201,OAK LAWN,#160,75207,1628 OAK LAWN AVE #100,Feb 2019,FY2019,32.792974,-96.822674,
EL BOLERO,Routine,02/27/2019,92,2722,FITZHUGH,,75206,621 N HALL ST,Feb 2019,FY2019,32.814569,-96.785998,
EL BOLERO (OUTSIDE BAR),Routine,02/18/2019,100,1201,OAK LAWN,#160,75207,1628 OAK LAWN AVE #A,Feb 2019,FY2019,32.792974,-96.822674,
EL BOTANERO BAR,Routine,07/05/2019,88,3049,NORTHWEST,,75220,8201 E RL THORNTON FRWY,Jul 2019,FY2019,32.855244,-96.869552,
EL BOTANERO BAR,Routine,06/25/2019,68,3049,NORTHWEST,,75220,8201 PRESTON RD #100,Jun 2019,FY2019,32.855244,-96.869552,
EL BOTANERO BAR,Routine,05/30/2019,72,3049,NORTHWEST,,75220,8204 WALNUT HILL LN SSB #LL1,May 2019,FY2019,32.855244,-96.869552,
EL BOTANERO BAR,Routine,04/30/2019,74,3049,NORTHWEST,,75220,8207 S HAMPTON RD,Apr 2019,FY2019,32.855244,-96.869552,
EL CALENTANO TORTERIA & TAQUERIA,Follow-up,10/31/2019,80,2742,EWING,,75216,6402 E MOCKINGBIRD LN #A,Oct 2019,FY2020,32.713419,-96.810962,
EL CALENTANO TORTERIA & TAQUERIA,Routine,09/26/2019,70,2742,EWING,,75216,6404 GASTON AVE,Sep 2019,FY2019,32.713419,-96.810962,
EL CALENTANO TORTERIA & TAQUERIA,Routine,03/19/2019,70,2742,EWING,,75216,6406 SKILLMAN ST,Mar 2019,FY2019,32.713419,-96.810962,
EL CHAROLAZO COMIDA MEXICANA CON SABOR,Routine,12/13/2019,86,11200,HARRY HINES,#WXZ,75229,1233 NEWPORT AVE,Dec 2019,FY2020,32.889045,-96.888727,
