restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long
PRESTON HOLLOW ELEMENTARY,Routine,11/14/2019,93,6423,WALNUT HILL,,75230,6423 WALNUT HILL LN,Nov 2019,FY2020,32.880056, -96.79486
SNAPPY SALADS,Routine,07/22/2019,86,14902,PRESTON,#512A,75254,14902 PRESTON RD #512A,Jul 2019,FY2019,32.951326, -96.803474
HEROES SPORTS GRILL,Routine,08/31/2019,85,3094,STEMMONS,,75247,3094 N STEMMONS FRWY,Aug 2019,FY2019,32.812433, -96.860873
LIFE CHARTER SCHOOL,Routine,03/28/2019,98,4400,RL THORNTON,,75224,4400 S RL THORNTON FRWY,Mar 2019,FY2019,32.691296, -96.822673
PAPA YUN'S DONUTS,Routine,11/06/2019,81,1904,RECORD CROSSING,,75235,1904 RECORD CROSSING RD,Nov 2019,FY2020,32.817586, -96.850761
EL JORDAN CAFE,Routine,11/21/2019,84,416,BISHOP,,75208,416 N BISHOP AVE,Nov 2019,FY2020,43.622265, -95.79967
HERBERT MARCUS ELEMENTARY,Routine,09/11/2019,98,2911,NORTHAVEN,,75229,2911 NORTHAVEN RD,Sep 2019,FY2019,32.903867, -96.879383
CENTRAL MARKET DELI/BAKERY/SALADS,Routine,12/11/2019,86,5750,LOVERS,,75206,5750 E LOVERS LN,Dec 2019,FY2020,32.851001, -96.768981
SAM'S GRILL & SEAFOOD,Routine,11/05/2019,76,1607,REGAL,,75247,1607 REGAL ROW,Nov 2019,FY2020,32.835984, -96.873804
PIZZA HUT WING CO #034546,Routine,11/15/2019,80,2248,ILLINOIS,,75224,2248 W ILLINOIS AVE,Nov 2019,FY2020,32.720202, -96.855543
MACY'S STARBUCKS KIOSK,Routine,12/11/2019,94,8687,CENTRAL,#800B,75225,8687 N CENTRAL EXPW #800B,Dec 2019,FY2020,32.869358, -96.770707
WHATABURGER #708,Routine,11/22/2019,97,11880,CENTRAL,,75243,11880 N CENTRAL EXPW,Nov 2019,FY2020,32.910989, -96.768225
NEVERIA LA MEXICANA,Routine,12/11/2019,77,1322,CLARENDON,,75208,1322 W CLARENDON DR,Dec 2019,FY2020,32.735019, -96.843613
CHURCH'S CHICKEN #35,Routine,11/26/2019,90,4656,SCYENE,,75210,4656 SCYENE RD,Nov 2019,FY2020,32.766553, -96.740688
THOMAS J RUSK JR HIGH,Routine,12/13/2019,97,2929,INWOOD,,75235,2929 INWOOD RD,Dec 2019,FY2020,32.824567, -96.832673
ZATO THAI CUISINE AND SUSHI BAR,Routine,02/15/2019,80,9090,SKILLMAN,#190A,75243,9090 SKILLMAN ST #190A,Feb 2019,FY2019,32.897955, -96.719261
PANADERIA Y RESTAURANT LATINA,Routine,12/03/2019,84,611,HAMPTON,,75211,611 S HAMPTON RD,Dec 2019,FY2020,39.959371, -82.91046
THE WILD TURKEY,Routine,11/25/2019,87,2470,WALNUT HILL,,75229,2470 WALNUT HILL LN,Nov 2019,FY2020,32.880983, -96.894708
MARRIOTT/BANQUET KITCHEN,Routine,12/04/2019,90,650,PEARL,,75201,650 N PEARL EXPW,Dec 2019,FY2020,0,0
ASIAN MINT,Routine,11/19/2019,88,5450,LOVERS,#222,75209,5450 W LOVERS LN #222,Nov 2019,FY2020,32.851136, -96.819851
HERRERA'S CAFE,Routine,12/04/2019,92,3311,SYLVAN,#A,75212,3311 SYLVAN AVE #A,Dec 2019,FY2020,32.781813, -96.835883
"GHM KITCHEN & CATERING, INC.",Routine,11/18/2019,92,4043,TRINITY MILLS,#122,75287,4043 TRINITY MILLS RD #122,Nov 2019,FY2020,32.987593, -96.839591
A WOK EXPRESS,Routine,12/03/2019,80,10349,FERGUSON,,75228,10349 FERGUSON RD,Dec 2019,FY2020,32.836508, -96.671795
PAPA WADY,Routine,08/21/2019,95,11277,NORTHWEST,123-B,75238,11277 E NORTHWEST HWY 123-B,Aug 2019,FY2019,32.864406, -96.685829
TAQUERIA LA ESPERANZA,Routine,11/07/2019,88,2992,WALNUT HILL,#B,75229,2992 WALNUT HILL LN STE #B,Nov 2019,FY2020,32.88089, -96.87796
WHITE ROCK ELEMENTARY,Routine,11/21/2019,96,9229,CHISWELL,,75238,9229 CHISWELL RD,Nov 2019,FY2020,32.873457, -96.724938
16232 CRAZY BROTHERS,Routine,11/26/2019,79,7812,GREAT TRINITY FOREST,#300,75217,7812 GREAT TRINITY FOREST WAY #300,Nov 2019,FY2020,32.712222, -96.687877
TROLLEY STOP CAFE,Routine,11/05/2019,89,400,ST PAUL,#130,75201,400 N ST PAUL ST #130,Nov 2019,FY2020,32.784394, -96.798199
HARMONY SCH OF BUSINESS W SIDE CAFE,Routine,08/19/2019,100,8080,PRESIDENT GEORGE BUSH,,75252,8080 PRESIDENT GEORGE BUSH TPKE,Aug 2019,FY2019,32.998825, -96.76204
EL PAISANO,Routine,11/20/2019,88,2903,LOMBARDY,,75220,2903 LOMBARDY LN,Nov 2019,FY2020,32.866403, -96.876632
ZARAGOZA ELEMENTARYSCHOOL,Routine,11/18/2019,97,4550,WORTH,,75246,4550 WORTH ST,Nov 2019,FY2020,34.061801, -118.185373
INSPIRED VISION ACADEMY II,Routine,11/20/2019,84,8501,BRUTON,,75217,8501 BRUTON RD,Nov 2019,FY2020,32.748802, -96.674821
EZ QUICK MART,Routine,12/02/2019,74,4210,CAMP WISDOM,#230,75237,4210 W CAMP WISDOM RD #230,Dec 2019,FY2020,32.66189, -96.88849
HOUSE OF BLUES BAR 4,Routine,11/23/2019,96,2200,LAMAR,,75202,2200 N LAMAR ST,Nov 2019,FY2020,32.785059, -96.808579
STARBUCKS,Routine,12/06/2019,87,3620,CAMP WISDOM,,75251,3620 W CAMP WISDOM RD,Dec 2019,FY2020,32.662074, -96.878743
TOLLER PARK,Routine,11/19/2019,74,3629,ROSS,,75204,3629 ROSS AVE,Nov 2019,FY2020,32.797425, -96.786688
LAKEHILL PREP SCHOOL,Routine,12/04/2019,95,2720,HILLSIDE,,75214,2720 HILLSIDE DR,Dec 2019,FY2020,47.024881, -122.894734
AFC SUSHI,Routine,09/05/2019,100,1935,MEDICAL DISTRICT,,75235,1935 MEDICAL DISTRICT DR,Sep 2019,FY2019,32.8088, -96.83618
PERSHING ELEMENTARY SCHOOL,Routine,11/14/2019,94,5717,MEADERS,,75229,5717 MEADERS LN,Nov 2019,FY2020,32.886579, -96.808955
RITZ CARLTON HOTEL-BACK BQT KITCHEN,Routine,11/11/2019,98,2121,MCKINNEY,#101,75201,2121 MCKINNEY AVE #101,Nov 2019,FY2020,32.792274, -96.803059
CEDAR SPRINGS TAP HOUSE,Routine,11/25/2019,90,4123,CEDAR SPRINGS,#101,75219,4123 CEDAR SPRINGS RD #101,Nov 2019,FY2020,31.253012, -85.206685
STUDIO EATS RESTAURANT,Routine,11/13/2019,98,11819,WEBB CHAPEL,,75234,11819 WEBB CHAPEL RD,Nov 2019,FY2020,32.911124, -96.873295
TOM THUMB #3597 GROCERY,Routine,12/05/2019,100,11920,PRESTON,,75230,11920 PRESTON RD,Dec 2019,FY2020,32.910979, -96.803775
PLATINUM #3073 CHEF'S CORNER WEST,Routine,08/19/2019,97,2500,VICTORY,#3073,75201,2500 VICTORY AVE PLTM #3073,Aug 2019,FY2019,32.79008, -96.811316
GENEVA HEIGHTS ELEMENTARY SCHOOL,Routine,11/20/2019,87,2911,DELMAR,,75206,2911 DELMAR AVE,Nov 2019,FY2020,32.824143, -96.765792
ROCKFISH SEAFOOD GRILL #2,Routine,11/19/2019,89,7639,CAMPBELL,#800,75248,7639 CAMPBELL RD #800,Nov 2019,FY2020,29.392656, -82.645637
