restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
FA13736 CAFE ON THE GREEN KIOSK,Routine,01/09/2019,100,8525,GARLAND,,75218,8525 GARLAND RD,Jan 2019,FY2019
7-ELEVEN #35425B,Follow-up,06/28/2019,92,8302,ABRAMS,,75243,8302 ABRAMS RD,Jun 2019,FY2019
FOOD RITE MARKET-GROCERY,Routine,06/05/2019,80,2215,MARSALIS,,75216,2215 S MARSALIS AVE,Jun 2019,FY2019
SUBWAY SANDWICHES,Routine,06/07/2019,92,5500,GREENVILLE,#212,75206,5500 GREENVILLE AVE #212,Jun 2019,FY2019
EATZI'S MARKET SANDWICH,Routine,06/19/2019,89,3403,OAK LAWN,,75219,3403 OAK LAWN AVE,Jun 2019,FY2019
WILLIAMS FRIED CHICKEN,Routine,06/21/2019,88,938,CORINTH ST,,75203,938 S CORINTH ST RD,Jun 2019,FY2019
IVY TAVERN,Routine,07/11/2019,90,5334,LEMMON,,75209,5334 LEMMON AVE,Jul 2019,FY2019
SUBWAY SANDWICH SHOP #2,Routine,02/19/2019,93,13015,COIT,#E,75240,13015 COIT RD #E,Feb 2019,FY2019
D' VENTURES RESTAURANT & PRIVATE CLUB,Routine,06/18/2019,80,7474,LANCASTER,,75241,7474 S LANCASTER RD,Jun 2019,FY2019
TORCHY'S TACOS #6,Routine,07/10/2019,90,5921,FOREST,#200,75220,5921 FOREST LN #200,Jul 2019,FY2019
RED LOBSTER #0873,Routine,06/25/2019,90,9069,VANTAGE POINT,,75243,9069 VANTAGE POINT,Jun 2019,FY2019
CENTERPLATE BBQ #10 KIOSK,Routine,06/19/2019,100,650,GRIFFIN,,75202,650 S GRIFFIN ST,Jun 2019,FY2019
CITY COUNCIL RESTAURANT & BAR,Routine,06/22/2019,70,2901,THOMAS,,75204,2901 THOMAS AVE,Jun 2019,FY2019
S & D OYSTER CO,Routine,06/21/2019,91,2701,MCKINNEY,,75204,2701 MCKINNEY AVE,Jun 2019,FY2019
RUSTY TACO,Routine,06/21/2019,91,4802,GREENVILLE,,75206,4802 GREENVILLE AVE,Jun 2019,FY2019
HAVANA CAFE,Routine,07/03/2019,71,1152,BUCKNER,2-126,75218,1152 N BUCKNER BLVD STE 2-126,Jul 2019,FY2019
